[Nouns]

camarero;официант
dependiente;продавец,служащий
enfermero;санитар,фельдшер
gimnasio;спортзал
sala del deporte;спортзал
peluquria;парикмахерская
farmacia;аптека
garaje;гараж
parada;остановка
estación;станция
aparcamiento;парковка
ectacionamente;парковка
parque;парк
tienda;магазин
chalé;частный дом
piso;квартира
salon-comedor;столовая
nevera;холодильник
microondas;микроволновка
сalefacción central;центральное отопление
ascensor;лифт
hervidor eléctrico;чайник
pava eléctrica;чайник
aire accondicionado;кондиционер
lavadora;стиральная машина
lavavajillas;посудомойка
piscina;бассейн
jardín;сад
la mano;рука
la foto;фото,фотография
la radio;радио
la moto;мотоцикл
lugares de interés;достопримечательности
el sofá;диван
la fuente;источник
ruido;шум
pelis;фильмы
pasillo;корридор
lugares de interes;область интересов
lugar;область
mariachis;мексиканские певцы
frijol;фасоль
albergue;общежитие
furgoneta;вагончик
vaqueros;джинсы
jersey;свитер
falda;юбка
blusa;блузка
jaquete;пиджак,жакет
abrigo;пальто
chaleco;жилетка
la bolsa;сумка
el bolsillo;сумочка

[Familia]

sobrino;племянник
abuela;бабушка
abuelo;дедушка
hijo;ребёнок
madre;мама
padre;папа
los padres;родители
tio;дядя
tia;тётя
bisabuela;прабабушка
bisabuelo;прадедушка
primo;двоюродный брат
prima;двоюродная сестра
novio;парень
novia;девушка
marido;муж
esposo;муж
marida;жена
esposa;жена
los gemelos;близняшки
los niños;дети
los hijos;дети
suegro;тесть,свёкор
suerga;тёща,свекровь
nuera;сноха
el nieto;внук
madrastra;мачеха
hijastro;пасынок
descendiente;потомок
el nacimiento;рождение
el embarazo;беременность
la maternidad;материнство
la paternidad;отцовство
la boda;свадьба
el matrimonio;брак


[Adjetivos]

amueblar;мебилированный
moderno;современный
ruidoso;шумный
cotidiana;повседневная
torpe;глупый
timido;застенчивый
vago;ленивый
util;полезный	
aburrido;скучный
agradable;приятный
alegre;весёлый
alto;высокий
amargo;горький
ancho;широкий
antiguo;старый
azul;синий
barato;дешёвый
bajo;низкий
bello;красивый,чудесный
blanco;белый
blando;слабый,мягкий
bonito;милый,красивый
bueno;хороший
caliente;горячий
capaz;способный,умелый
caro;дорогой
colorido;яркий,красочный,цветной
cómodo;удобный
conocido;знакомый,известный
contento;довольный,радостный
corto;короткий
cuadrado;квадратный
débil;слабый
delgado;худой,стройный
desagradable;неприятный
descolorido;бесцветный
desconocido;незнакомый,неизвестный
descontento;недовольный
diferente;другой,разный
difícil;сложный
divertido;забавный,весёлый
dulce;сладкий
educado;воспитанный
enfadado;злой,разгневанный
enfermo;больной
egoísta;эгоистичный
estrecho;узкий
fácil;лёгкий
falso;ложный
famoso;знаменитый
feliz;счастливый
feo;уродливый
fresco;свежий
frío;холодный
fuerte;сильный
gordo;толстый
grande;большой
guapo;красивый
hermoso;прекрасный
húmedo;влажный,мокрый
imposible;невозможный
incómodo;неудобный
interesante;интересный
inútil;бесполезный, ненужный
jóven;молодой
largo;длинный
lento;медленный
limpio;чистый
listo;умный
lleno;полный
maleducado;невоспитанный
malo;плохой
mejor;лучшee
la mejor parte;лучшая часть
mojado;мокрый
muerto;мёртвый
negro;чёрный
nervioso;нервный
nuevo;новый
pobre;бедный
popular;популярный
pequeño;маленький
perfecto;идеальный
picante;острый,пряный
principal;главный,основной
rápido;быстрый
raro;странный,редкий
redondo;круглый
rico;вкусный,богатый
rojo;красный
sano;здоровый
seco;сухой
soltero;холостой
soso;невкусный
sucio;грязный
tímido;застенчивый,робкий
tonto;глупый
tranquilo;спокойный
triste;грустный
útil;полезный,удобный
vacío;пустой
verdadero;истинный,верный
verde;зелёный
viejo;старый
vivo;живой

[Adverb]

algunos;несколько
entonces;тогда
además;кроме того
mientras tanto;тем временем
mientras;пока,в то время как
también;также
tampoco;также не
por ejemplo;например
enfrente;напротив


[Phrases]

Llegar tarde;опаздывать
en mi opinión;по моему мнению
segun mi opinión;согласно моему мнению
para mi;для меня
estoy convencido de qué;я убежден в том что
la verdad es que;правда в том что
lo cierto es que;верно то что
y encima;превыше всего,важнее всего
y para colmo;и в довершении всего
y lo que faltaba;и то чего не хватало
en resumen;резюмируя
en conclusión;в завершении
al final;в конце концов
Por un lado;с одной стороны
Por otro lado;с другой стороны
Por una parte;с одной стороны
Por otra parte;с другой стороны
Primeramente;во-первых
segundamente;во-вторых
En primer lugar;на первом месте
Y por último;и последний
Yo suscribo vuestra propuesta;я уважаю ваше мнение
Yo lo veo como tú;я согласен с тобой
Yo no lo veo como tú;я не согласен с тобой
Yo no suscribo vuestra propuesta;я не поддерживаю ваше мнение
Estoy en contra de;я против
Para ir a…tienes que coger…;чтобы добраться туда нужно выбрать
tardar;занять время
creo que;думаю что
pues;ну
vale;ок
Está enseguida de mi puerta;находится рядом с моей дверью
Estar listo;быть готовым
ahora mismo;сейчас же

[Prepositions]

encima de;над,сверху
debajo de;под,снизу
al lado de;сбоку
dentro de;внутри
а la izquierda de;слева
a la derecha de;справа
entre;между
delante de;впереди
detrás de;сзади
en fondo;вглубине
en primer plano;на первом этаже
en el centro de;в центре
cerca de;близко к
lejos de;далеко от


[Pronombres]

nadie;никто
nada;ничего
ninguno;никакой
ninguno de;никто из,ни один из
nadie de;никто из
me;мне
te;тебе
le;ему,ей,вам
les;им,вам
este;этот
ese;тот
aquel;тот
el que;тот
cual;тот,та,те
algo;что-то
alguno;какой-то
alguien;кто-то

[Focus]

coche;машина
bienestar;хорошее состояние,благополучие
naturaleza;природа
tranquilidad;спокойствие
llave;ключ
mirador;смотровая
ducha;душ
Parque infantil;детская площадка
Zona de acampada;место для палаток,лагерь
destino;назначение
existencia;наличие,существование
inexistencia;отсутствие
describir;описывать
preferencias;предпочтения
posibilidad;возможность
plátano;банан
aunque;хотя
Maleta;чемодан
responder;отвечать
girar;поворачивать
lo mejor;лучшее
lo peor;худшее
Manzana;перекресток,яблоко

[Direction]

norte;север
sur;юг
este;запад
oeste;восток
los puntos cardinales;стороны света

[Finanzas]

Billetes;банкноты
Dinero;деньги
Una plata;деньги
Pelas;деньги,бабло
Monedas;монеты
Duro;деньги,нехватка денег,ни копейки,тяжёлый,суровый
Efectivo;наличные
Cheque;чек
precio;цена
Cajero;банкомат
Tarjeta de crédito;кредитная карта
Tarjeta de débito;дебетовая карта
Datáfono;картридер,терминал для чтения карты
Préstamo;кредит
Hipoteca;ипотека
Cambio de dinero;обмен валюты
Caja fuerte;сейф
El saldo;остаток на счету,остаток
el número confidencial;пин,пин-код,конфиденциальный номер
entregar;выдавать
inversiones;вклад
¿Otra cantidad?;другая сумма?
Pasta gansa;огромные деньги,деньжища,гора денег
Talegada;огромные деньги,деньжища,целое состояние
Prohibitivo;нереальная цена,запредельная цена,астрономическая,баснословная
Estar por las nubes;заоблачная цена
Costar un riñon;стоит почку,целое состояние
Económico;экономичный,недорогой
Estar por los suelos;ниже некуда,ниже плинтуса
Tirado;очень дёшево,даром
Una ganga;даром,почти даром
Un chollo;повезло,везение
Una baratija;дешёвка
Compra;покупка
Comprar;покупать

[Nuevos]

Lejos de;Далеко от
positivo;Позитивный,положительный
negativo;Негативный,отрицательный
Estar interesado en;Быть заинтересованным в 
gafas;очки
Es todo lo que quería decir;Это все, что я хотел сказать
lavarse;мыться
Tomar ducha;Принимать душ
Estar seguro de;Быть уверенным в
travieso;озорной
reunirse;объединяться
oración;Предложение
buscar;искать



[End]
